year,month,yearmo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2016,1,201601,4.0,4.0,4.0,4.0,5.0,5.0,5.0
2016,2,201602,5.0,4.0,4.0,4.0,4.0,4.0,4.0
2016,3,201603,4.0,5.0,5.0,5.0,4.0,4.0,4.0
2016,4,201604,4.0,4.0,4.0,4.0,5.0,5.0,4.0
2016,5,201605,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2016,6,201606,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2016,7,201607,4.0,4.0,4.0,4.0,5.0,5.0,5.0
2016,8,201608,5.0,5.0,5.0,4.0,4.0,4.0,4.0
2016,9,201609,4.0,4.0,4.0,5.0,5.0,4.0,4.0
2016,10,201610,5.0,4.0,4.0,4.0,4.0,5.0,5.0
2016,11,201611,4.0,5.0,5.0,4.0,4.0,4.0,4.0
2016,12,201612,4.0,4.0,4.0,5.0,5.0,5.0,4.0
2017,1,201701,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2017,2,201702,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2017,3,201703,4.0,4.0,5.0,5.0,5.0,4.0,4.0
2017,4,201704,4.0,4.0,4.0,4.0,4.0,5.0,5.0
2017,5,201705,5.0,5.0,5.0,4.0,4.0,4.0,4.0
2017,6,201706,4.0,4.0,4.0,5.0,5.0,4.0,4.0
2017,7,201707,5.0,4.0,4.0,4.0,4.0,5.0,5.0
2017,8,201708,4.0,5.0,5.0,5.0,4.0,4.0,4.0
2017,9,201709,4.0,4.0,4.0,4.0,5.0,5.0,4.0
2017,10,201710,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2017,11,201711,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2017,12,201712,4.0,4.0,4.0,4.0,5.0,5.0,5.0
2018,1,201801,5.0,5.0,5.0,4.0,4.0,4.0,4.0
2018,2,201802,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2018,3,201803,4.0,4.0,4.0,5.0,5.0,5.0,4.0
2018,4,201804,5.0,4.0,4.0,4.0,4.0,4.0,5.0
2018,5,201805,4.0,5.0,5.0,5.0,4.0,4.0,4.0
2018,6,201806,4.0,4.0,4.0,4.0,5.0,5.0,4.0
2018,7,201807,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2018,8,201808,4.0,4.0,5.0,5.0,5.0,4.0,4.0
2018,9,201809,4.0,4.0,4.0,4.0,4.0,5.0,5.0
2018,10,201810,5.0,5.0,5.0,4.0,4.0,4.0,4.0
2018,11,201811,4.0,4.0,4.0,5.0,5.0,4.0,4.0
2018,12,201812,5.0,4.0,4.0,4.0,4.0,5.0,5.0
2019,1,201901,4.0,5.0,5.0,5.0,4.0,4.0,4.0
2019,2,201902,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019,3,201903,4.0,4.0,4.0,4.0,5.0,5.0,5.0
2019,4,201904,5.0,5.0,4.0,4.0,4.0,4.0,4.0
2019,5,201905,4.0,4.0,5.0,5.0,5.0,4.0,4.0
2019,6,201906,4.0,4.0,4.0,4.0,4.0,5.0,5.0
2019,7,201907,5.0,5.0,5.0,4.0,4.0,4.0,4.0
2019,8,201908,4.0,4.0,4.0,5.0,5.0,5.0,4.0
2019,9,201909,5.0,4.0,4.0,4.0,4.0,4.0,5.0
2019,10,201910,4.0,5.0,5.0,5.0,4.0,4.0,4.0
2019,11,201911,4.0,4.0,4.0,4.0,5.0,5.0,4.0
2019,12,201912,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2020,1,202001,4.0,4.0,5.0,5.0,5.0,4.0,4.0
2020,2,202002,4.0,4.0,4.0,4.0,4.0,5.0,4.0
2020,3,202003,5.0,5.0,4.0,4.0,4.0,4.0,5.0
2020,4,202004,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2020,5,202005,4.0,4.0,4.0,4.0,5.0,5.0,5.0
2020,6,202006,5.0,5.0,4.0,4.0,4.0,4.0,4.0
2020,7,202007,4.0,4.0,5.0,5.0,5.0,4.0,4.0
2020,8,202008,5.0,4.0,4.0,4.0,4.0,5.0,5.0
2020,9,202009,4.0,5.0,5.0,4.0,4.0,4.0,4.0
2020,10,202010,4.0,4.0,4.0,5.0,5.0,5.0,4.0
2020,11,202011,5.0,4.0,4.0,4.0,4.0,4.0,5.0
2020,12,202012,4.0,5.0,5.0,5.0,4.0,4.0,4.0
